data_set_name,download_type,download_urls
Doran2020-2,package report,https://cn.dataone.org/cn/v2/resolve/https%3A%2F%2Fpasta.lternet.edu%2Fpackage%2Freport%2Feml%2Fknb-lter-mcm%2F3103%2F6
Doran2020-2,data file,https://cn.dataone.org/cn/v2/resolve/https%3A%2F%2Fpasta.lternet.edu%2Fpackage%2Fdata%2Feml%2Fknb-lter-mcm%2F3103%2F6%2F441f152787bf2e93007a48dcab67c559
Doran2020-2,data file,https://cn.dataone.org/cn/v2/resolve/https%3A%2F%2Fpasta.lternet.edu%2Fpackage%2Fdata%2Feml%2Fknb-lter-mcm%2F3103%2F6%2Fdf8ef568bf77d44ff61594b81767a9d6
Gooseff2019,metadata,https://cn.dataone.org/cn/v2/resolve/https%3A%2F%2Fpasta.lternet.edu%2Fpackage%2Fmetadata%2Feml%2Fknb-lter-mcm%2F2010%2F10
Gooseff2019,package report ,https://cn.dataone.org/cn/v2/resolve/https%3A%2F%2Fpasta.lternet.edu%2Fpackage%2Freport%2Feml%2Fknb-lter-mcm%2F2010%2F10
Gooseff2019,datafile,https://cn.dataone.org/cn/v2/resolve/https%3A%2F%2Fpasta.lternet.edu%2Fpackage%2Fdata%2Feml%2Fknb-lter-mcm%2F2010%2F10%2Fa382f128e10a298028c7d4d7080c7f64
Gooseff2019,datafile,https://cn.dataone.org/cn/v2/resolve/https%3A%2F%2Fpasta.lternet.edu%2Fpackage%2Fdata%2Feml%2Fknb-lter-mcm%2F2010%2F10%2F623b82fa7ce6bee2d114973afd911944
Mo2020,metadata,https://data.gulfresearchinitiative.org/metadata/R6.x808.000:0054
Castaneda2020,metadata,https%3A%2F%2Fpasta.lternet.edu%2Fpackage%2Fmetadata%2Feml%2Fknb-lter-fce%2F1227%2F3.xml
Castaneda2020,package report,https%3A%2F%2Fpasta.lternet.edu%2Fpackage%2Freport%2Feml%2Fknb-lter-fce%2F1227%2F3.xml
Castaneda2020,data file,https%3A%2F%2Fpasta.lternet.edu%2Fpackage%2Fdata%2Feml%2Fknb-lter-fce%2F1227%2F3%2F3c98a348c07d01715300d76b101b4414.csv
Castaneda2020,data file,https%3A%2F%2Fpasta.lternet.edu%2Fpackage%2Fdata%2Feml%2Fknb-lter-fce%2F1227%2F3%2F6e4e9f1ae33f1ae8d66ce85ef0f3db73.csv
Castaneda2020,data file,https%3A%2F%2Fpasta.lternet.edu%2Fpackage%2Fdata%2Feml%2Fknb-lter-fce%2F1227%2F3%2F0249c13204f3565725dd5e29fc5ecb83.csv
Bishop2016,metadata,https://cn.dataone.org/cn/v2/object/71b7d2ae-6bec-4422-933c-709fe8d49174
Coweeta2019pH,metadata,https://cn.dataone.org/cn/v2/resolve/https%3A%2F%2Fpasta.lternet.edu%2Fpackage%2Fmetadata%2Feml%2Fknb-lter-cwt%2F1152%2F13
Coweeta2019pH,packageReport,https://cn.dataone.org/cn/v2/resolve/https%3A%2F%2Fpasta.lternet.edu%2Fpackage%2Freport%2Feml%2Fknb-lter-cwt%2F1152%2F13
Coweeta2019pH,data,https://cn.dataone.org/cn/v2/resolve/https%3A%2F%2Fpasta.lternet.edu%2Fpackage%2Fdata%2Feml%2Fknb-lter-cwt%2F1152%2F13%2F45f31d16b1058d586fc3be7207b58053
Coweeta2019pH,KML,https://cn.dataone.org/cn/v2/resolve/https%3A%2F%2Fpasta.lternet.edu%2Fpackage%2Fdata%2Feml%2Fknb-lter-cwt%2F1152%2F13%2F79c598907d93fc12d74b29c7cda68d23
Coweeta2019Phosphorous,metadata,https://cn.dataone.org/cn/v2/resolve/https%3A%2F%2Fpasta.lternet.edu%2Fpackage%2Fmetadata%2Feml%2Fknb-lter-cwt%2F1153%2F14
